"administrator_id","organization_id","role_id","created"
459,303,1,"2018-04-27 12:36:49.683747+00"
459,304,1,"2018-04-27 12:37:32.956624+00"
136,612,1,"2018-07-31 17:19:35.813174+00"
136,210,1,"2018-07-31 17:19:41.945456+00"
158,597,1,"2018-08-01 14:01:22.326516+00"
603,604,1,"2018-08-02 13:18:52.87337+00"
605,97,1,"2018-08-03 19:14:47.137308+00"
602,602,1,"2018-08-09 13:11:38.693869+00"
603,601,1,"2018-08-09 13:13:13.177095+00"
602,605,1,"2018-08-09 13:14:40.026939+00"
134,198,1,"2017-07-27 14:50:45.856034+00"
135,198,1,"2017-07-27 14:50:56.821078+00"
139,86,1,"2017-08-01 16:43:00.580116+00"
139,147,1,"2017-08-01 16:43:36.167865+00"
142,11,1,"2017-08-03 21:27:18.576456+00"
142,212,1,"2017-08-10 16:19:42.626568+00"
142,213,1,"2017-08-10 16:24:41.368476+00"
146,40,1,"2017-08-11 19:11:10.959542+00"
146,94,1,"2017-08-11 19:11:28.125334+00"
146,146,1,"2017-08-11 19:11:49.81645+00"
158,214,1,"2017-08-23 15:16:00.683217+00"
159,214,1,"2017-08-23 15:16:23.35561+00"
161,223,1,"2017-08-24 17:32:29.94329+00"
164,219,1,"2017-08-28 17:48:25.212655+00"
166,227,1,"2017-08-29 19:38:15.995354+00"
168,6,1,"2017-08-30 14:52:27.542508+00"
169,6,1,"2017-08-30 15:10:02.636893+00"
119,197,1,"2017-08-31 20:05:32.161372+00"
170,197,1,"2017-08-31 20:05:45.889344+00"
172,228,1,"2017-08-31 20:51:41.861089+00"
173,4,1,"2017-09-06 14:25:28.923234+00"
175,229,1,"2017-09-06 18:27:17.371508+00"
283,331,1,"2018-01-15 21:46:56.326283+00"
723,494,1,"2018-10-05 15:03:07.785563+00"
723,522,1,"2018-10-05 15:03:07.785563+00"
199,253,1,"2017-10-12 17:21:11.843764+00"
439,399,1,"2018-03-28 15:21:03.552313+00"
292,372,1,"2018-01-16 21:55:39.325533+00"
5,18,1,"2017-09-14 15:58:18.788485+00"
723,586,1,"2018-10-05 15:03:07.785563+00"
178,238,1,"2017-09-14 19:05:11.503401+00"
179,236,1,"2017-09-14 20:13:43.57691+00"
429,586,1,"2018-07-12 15:23:05.16415+00"
181,231,1,"2017-09-17 21:01:14.623026+00"
203,198,1,"2017-10-17 17:37:20.631728+00"
181,239,1,"2017-09-17 21:05:46.743678+00"
205,188,1,"2017-10-23 12:35:12.421218+00"
440,468,1,"2018-03-29 19:04:37.77993+00"
182,240,1,"2017-09-18 18:24:28.551749+00"
706,724,1,"2018-11-26 19:35:05.335062+00"
184,241,1,"2017-09-18 19:32:47.069512+00"
184,237,1,"2017-09-18 19:33:18.488921+00"
184,242,1,"2017-09-18 19:39:14.051464+00"
209,260,1,"2017-10-24 17:26:39.840186+00"
190,235,1,"2017-10-26 15:27:46.359822+00"
186,89,1,"2017-09-25 13:30:56.115343+00"
187,89,1,"2017-09-25 13:31:37.315026+00"
188,135,1,"2017-09-26 14:39:25.413667+00"
442,311,1,"2018-04-04 13:53:22.087244+00"
444,410,1,"2018-04-05 13:11:56.094382+00"
185,243,1,"2017-09-28 19:22:45.366353+00"
213,263,1,"2017-10-27 11:36:28.510468+00"
214,254,1,"2017-10-27 14:51:38.026093+00"
190,246,1,"2017-09-28 19:40:15.941413+00"
190,244,1,"2017-09-28 19:40:34.518916+00"
190,245,1,"2017-09-28 19:40:54.482504+00"
294,370,1,"2018-01-17 21:33:10.614585+00"
216,263,1,"2017-10-27 18:32:49.068848+00"
191,247,1,"2017-09-28 19:56:09.484723+00"
722,726,1,"2018-11-27 15:21:03.09836+00"
192,248,1,"2017-09-28 20:26:07.617173+00"
759,211,1,"2018-11-27 21:53:58.992682+00"
194,234,1,"2017-09-28 20:42:45.420528+00"
195,249,1,"2017-09-29 12:55:10.768899+00"
196,249,1,"2017-09-29 12:55:35.672604+00"
117,223,1,"2017-10-02 16:57:28.523143+00"
42,250,1,"2017-10-04 15:21:29.067852+00"
190,588,1,"2018-07-16 20:33:31.410509+00"
493,728,1,"2018-05-23 17:53:09.177186+00"
582,353,1,"2018-07-17 21:18:04.21501+00"
448,487,1,"2018-04-10 15:07:19.776581+00"
582,332,1,"2018-07-17 21:18:11.086533+00"
